Time (s),Ay (m/s²),Fᵧ (N)
8.829999923706055,-14.17397403717041,-0.8043667078018188
8.84000015258789,-13.985331535339355,-0.7770691514015198
8.850000381469727,-13.762014389038086,-0.7224740982055664
8.859999656677246,-13.459866523742676,-0.686077356338501
8.869999885559082,-13.183106422424316,-0.6314822435379028
8.880000114440918,-12.921189308166504,-0.5859863758087158
8.890000343322754,-12.649393081665039,-0.5313912630081177
8.899999618530273,-12.338236808776855,-0.4767961800098419
8.90999984741211,-12.014183044433594,-0.4131019115447998
8.920000076293945,-11.683390617370605,-0.35850682854652405
8.930000305175781,-11.273404121398926,-0.2857133746147156
8.9399995803833,-10.898091316223145,-0.22201912105083466
8.949999809265137,-10.513056755065918,-0.14922566711902618
8.960000038146973,-10.140707015991211,-0.08553141355514526
8.970000267028809,-9.678241729736328,-0.0036387834697961807
8.979999542236328,-9.256891250610352,0.060055483132600784
8.989999771118164,-8.874756813049316,0.14194810390472412
9,-8.491887092590332,0.19654318690299988
9.010000228881836,-8.095865249633789,0.26933664083480835
9.020000457763672,-7.6746368408203125,0.3421300947666168
9.029999732971191,-7.336698055267334,0.3967251777648926
9.039999961853027,-7.009344577789307,0.46951860189437866
9.050000190734863,-6.693597793579102,0.5150145292282104
9.0600004196167,-6.356961250305176,0.5696095824241638
9.069999694824219,-6.078498363494873,0.624204695224762
9.079999923706055,-5.836871147155762,0.6697006225585938
9.09000015258789,-5.621577262878418,0.7151964902877808
9.100000381469727,-5.445739269256592,0.7424940466880798
9.109999656677246,-5.251440048217773,0.7697916030883789
9.119999885559082,-5.1161017417907715,0.8061883449554443
9.130000114440918,-5.004037857055664,0.8243866562843323
9.140000343322754,-4.936201572418213,0.842585027217865
9.149999618530273,-4.875260353088379,0.8607833981513977
9.15999984741211,-4.846678256988525,0.8607833981513977
9.170000076293945,-4.889893054962158,0.8607833981513977
9.180000305175781,-4.947005271911621,0.8607833981513977
9.1899995803833,-5.007681846618652,0.8516842126846313
9.199999809265137,-5.123769760131836,0.842585027217865
9.210000038146973,-5.252818584442139,0.8243866562843323
9.220000267028809,-5.429864406585693,0.8061883449554443
9.229999542236328,-5.6321234703063965,0.7788907885551453
9.239999771118164,-5.830376625061035,0.7424940466880798
9.25,-6.089041233062744,0.696998119354248
9.260000228881836,-6.330442905426025,0.6606014370918274
9.270000457763672,-6.649405002593994,0.5969071388244629
9.279999732971191,-6.9477314949035645,0.5423120856285095
9.289999961853027,-7.257508277893066,0.49681615829467773
9.300000190734863,-7.599376201629639,0.4331218898296356
9.3100004196167,-7.971421241760254,0.37852680683135986
9.319999694824219,-8.323298454284668,0.3057333528995514
9.329999923706055,-8.698637008666992,0.2329399138689041
9.34000015258789,-9.086569786071777,0.169245645403862
9.350000381469727,-9.43850040435791,0.09645220637321472
9.359999656677246,-9.882487297058105,0.03275793790817261
9.369999885559082,-10.288000106811523,-0.05823386833071709
9.380000114440918,-10.651368141174316,-0.11282894760370255
9.390000343322754,-11.02018928527832,-0.18562239408493042
9.399999618530273,-11.403865814208984,-0.24931666254997253
9.40999984741211,-11.78425407409668,-0.31301093101501465
9.420000076293945,-12.145661354064941,-0.3676060140132904
9.430000305175781,-12.47011947631836,-0.4313002824783325
9.4399995803833,-12.780791282653809,-0.49499452114105225
9.449999809265137,-13.065271377563477,-0.5495896339416504
9.460000038146973,-13.373273849487305,-0.5950855612754822
9.470000267028809,-13.677968978881836,-0.6496806144714355
